Название,Юрлицо или физлицо,Год признания,Дата внесения,Статус,Сфера деятельности,Описание деятельности,Причина признания,Экстремистская организация,Прекратили работу,Исключена из реестра,Год исключения,Причина исключения
Ассоциация «Экспертно-правовое партнерство „Союз“»,Юрлицо,2015,5/7/2015,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,"«Союз» специализировался на исследовании нарушений прав человека в Республике Карелия. Кроме того, ассоциация упоминается в списке организаций, занимавшихся оказанием помощи призывникам.  ","финансирование из фонда Сороса на деятельность, направленную на защиту прав журналистов",,checked,checked,2015,Прекращение деятельности НКО
Автономная некоммерческая организация «Мемориальный центр истории политических репрессий „Пермь-36“»,Юрлицо,2015,4/29/2015,«Иностранный агент» (НКО),"""Социально-просветительские инициативы, образовательные проекты""","«Пермь-36» создала Мемориальный музей-заповедник истории политических репрессий и управляла им до 2015 года. Музей в 2004 году включен в список 100 особо охраняемых памятников мировой культуры, по версии Фонда мировых памятников. С 2005 по 2013 годы на территории музея ежегодно проходил форум «Пилорама», в программу которого входили как публичные дискуссии, так и концерты, выставки, киносеансы, театральные постановки. «Пермь-36» объявила о самоликвидации в 2015 году, после продолжительного давления со стороны властей и провластных объединений.","В 2015 году специалисты Минюста установили, что «Пермь-36» занимается политической деятельностью, и выявили факты получения организацией иностранного финансирования в течение последних трех лет.",,checked,checked,2016,Прекращение деятельности НКО
Калининградская региональная общественная организация информационно-правовых программ «Женская лига»,Юрлицо,2015,4/29/2015,«Иностранный агент» (НКО),Защита прав женщин,"Основные направления деятельности «Женской лиги»: информирование общественности о новостях в женском движении, связь с женскими организациями России и зарубежных стран, создание базы данных общественных организаций; просветительская деятельность, проведение семинаров и тренингов; разработка и реализация социальных программ.","«Женская лига» была признана «иностранным агентом» после проверки, в ходе которой было выявлено, что организация занимается политической деятельностью. К ней Минюст отнес «проведение [организацией] публичных мероприятий» и «формирование общественного мнения».",,checked,checked,2015,Прекращение деятельности НКО
Фонд поддержки расследовательской журналистики — «Фонд 19/29»,Юрлицо,2015,4/24/2015,«Иностранный агент» (НКО),Поддержка независимой журналистики,"«Фонд 19/29» занимался профессиональной, финансовой, юридической поддержкой независимых журналистов и блогеров в проведении расследований с использованием современных технологий. После внесения в список иностранных агентов в 2015 году организация переехала в Чехию, где продолжает свою деятельность. Один из основных проектов фонда — Школа расследований: семинары и мастер-классы в российских регионах для блогеров, активистов и журналистов, желающих освоить или совершенствовать методики расследований.

«Фонд 19/29» входит в «Глобальную сеть журналистов расследователей» (Global Investigative Journalists Network) и сотрудничает с «Центром по исследованию коррупции и организованной преступности» (Organized Crime and Corruption Reporting Project).","«Фонд 19/29» был признан «иностранным агентом» после проверки, в ходе которой было выявлено, что у организации есть иностранные источники финансирования: фонд получал деньги от американского Национального фонда демократии. К политической деятельности организации Минюст отнес приглашение на лекции фонда оппозиционных деятелей.",,checked,checked,2016,Прекращение деятельности НКО
Фонд «Гражданское действие»,Юрлицо,2015,4/20/2015,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,"Работа фонда «Гражданское действие» направлена на поддержку гражданских инициатив в различных формах. На своем сайте организация указывает, что ее деятельностью является «распространение и внедрение „пермского опыта общественного контроля“ в регионах России». Специалисты фонда, в частности, проводят практические курсы общественного контроля силами гражданских и правозащитных НКО регионов.","Фонд «Гражданское действие» был признан «иноагентом», так как сотрудники Минюста пришли к выводу, что организация получает иностранное финансирование и участвует в политической деятельности.",,,,,
Региональная общественная благотворительная организация помощи беженцам и мигрантам «Гражданское содействие»,Юрлицо,2015,4/20/2015,«Иностранный агент» (НКО),Помощь мигрантам и беженцам,"Комитет «Гражданское содействие» — региональная общественная благотворительная организация помощи беженцам и мигрантам. Она помогает мигрантам и гражданам России, которые оказались в тяжелой жизненной ситуации. «Гражданское содействие» защищает права мигрантов на территории всей страны и в частности — в Москве.",Минюст счел политической деятельностью заявления «Гражданского содействия» о необходимости гуманизации пенитенциарной системы.,,,,,
Новосибирский областной общественный фонд «Фонд защиты прав потребителей»,Юрлицо,2015,4/17/2015,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,Новосибирский «Фонд защиты прав потребителей» существовал с 2008 по 2015 год и вел деятельность по защите прав и интересов потребителей в судах. Благодаря организации были выиграны несколько сотен дел и взыскано в пользу потребителей несколько миллионов рублей. ,"Фонд сам подал заявление на включение в реестр. Организация финансировалась американским Национальным фондом поддержки демократии (The National Endowment for Democracy, «нежелательной организацией»), и по этой причине была внесена в список «иностранных агентов», а после ликвидирована.",,checked,checked,2015,Прекращение деятельности НКО
Озерская городская социально-экологическая общественная организация «Планета надежд»,Юрлицо,2015,4/15/2015,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,"«Планета надежд» занималась защитой прав пострадавших от радиационного облучения в Челябинской области. Организация была создана в связи с радиационной угрозой для жителей города Озерска, исходящей от предприятия «Маяк». В 1957 году там произошла радиационная авария, в результате которой пострадало более 250 тысяч человек.","Минюст посчитал, что «Планета надежд» оказывает «воздействие на принятие государственными органами решений, направленных на изменение проводимой ими государственной политики», занимаясь «проведением публичных мероприятий» и «формированием общественного мнения». Организация получала финансирование от американского Фонда поддержки демократии (NED) (признан «нежелательной организацией»).",,checked,checked,2018,Прекращение деятельности НКО
Автономная некоммерческая организация «Центр антикоррупционных исследований и инициатив „Трансперенси Интернешнл-Р“»,Юрлицо,2015,4/7/2015,«Иностранный агент» (НКО),Борьба с коррупцией,"Центр «Трансперенси Интернешнл-Р» проводил проекты, в рамках которых американские эксперты учили российских участников проекта (журналистов-расследователей и гражданских активистов) пользоваться полным арсеналом инструментов гражданского антикоррупционного расследователя, доступных в США. Например, реестрами собственности Флориды, Калифорнии и Нью-Йорка, ставших популярными направлениям бегства капиталов из России. Кроме того, за время своей работы «Трансперенси Интернешнл-Р» создал базу данных недвижимости, расположенной в Майями, изучил, как дети чиновников поступают в университеты без конкурса, а также выяснил, сколько российские налогоплательщики платили за командировки и перелеты бизнес-классом чиновников.","В ходе прокурорской проверки деятельность «Трансперенси Интернешнл-Р» была признана политической. Факт наличия иностранного финансирования очевиден, так как «Трансперенси Интернешнл-Р» — филиал международной организации в России.",,,,,
Ростовская городская общественная организация «Эко-Логика»,Юрлицо,2015,4/3/2015,«Иностранный агент» (НКО),Защита окружающей среды,"Организация «Эко-Логика» занималась природоохранной деятельностью в Ростовской области. Среди ее проектов — общественные инициативы по борьбе с пластиковым загрязнением, проекты по защите лесов и экологическому просвещению. 

В 2012 году «Эко-Логика» принимала участие во Всероссийском экологическом проекте «Поможем природе вместе».","Политической деятельностью сочли «привлечение внимания жителей региона к неспособности российских органов власти решать проблемы, в том числе экологической направленности».
Организация получала финансирование от фонда NED (США, признан «нежелательной организацией») и посольства Нидерландов.",,checked,checked,2016,Прекращение иностранного финансирования и (или) политической деятельности
Фонд поддержки социальных проектов «Миграция XXI век»,Юрлицо,2015,3/27/2015,«Иностранный агент» (НКО),Помощь мигрантам и беженцам,"Фонд «Миграция XXI век» занимался исследованиями вопросов внутренней и внешней миграции в России, а также миграционной политики. В 2013 году организация провела миграционный форум, на котором были освещены возможности и риски роста человеческого потенциала за счет миграции. ",Организация была признана «иностранным агентом» после внеплановой проверки Минюста.,,checked,checked,2019,Прекращение деятельности НКО
Частное учреждение дополнительного профессионального образования «Учебный центр экологии и безопасности»,Юрлицо,2015,3/20/2015,«Иностранный агент» (НКО),Защита окружающей среды,"«Учебный центр экологии и безопасности» занимается образовательной деятельностью в сфере экологии и охраны окружающей среды. Курсы центра ведут преподаватели самарских вузов, ведущие специалисты государственных служб и профессионалы-практики. Эколого-просветительская деятельность центра также включает в себя работу со школами и проведение природоохранных экспедиций.","Минюст счел политической деятельностью презентацию итогов анализа рационального использования водных ресурсов на научной конференции, организованной мэрией Самары.
Средства на образовательные программы по экологии «Учебному центру» выделял Фонд Алкоа (Alcoa Foundation), работающий при американской металлургической компании Alcoa Inc., завод которой находится в Самаре.",,,checked,2015,Прекращение иностранного финансирования и (или) политической деятельности
Мурманская региональная общественная экологическая организация «Беллона-Мурманск»,Юрлицо,2015,3/19/2015,«Иностранный агент» (НКО),Защита окружающей среды,"«Беллона-Мурманск» была создана для отслеживания экологических проблем, связанных с деятельностью атомных объектов на Северо-Западном побережье России. На своем сайте организация публиковала статьи, доклады и аналитические материалы об экологии севера страны.","Организация внесена в реестр по результатам внеплановой  проверки, проведенной управлением Минюста по Мурманской области. «Беллона» — международное экологическое объединение. Центральный офис объединения находится в столице Норвегии  — городе Осло (из чего делается вывод об иностранном финансировании). Политической деятельностью признана публикация доклада о промышленном загрязнении российской части Баренцева моря и предложения «Беллоны» усовершенствовать российское природоохранное законодательство.
",,checked,checked,2015,Прекращение деятельности НКО
Мурманская региональная молодежная общественная организация «Гуманистическое движение молодежи»,Юрлицо,2015,3/13/2015,«Иностранный агент» (НКО),"""Социально-просветительские инициативы, образовательные проекты""","Организация проводила ежегодный международный фестиваль «Диалог культур» для молодых художников, фотографов и кинорежиссеров. В программу фестиваля входили выставки, семинары и мастер-классы. ","«Гуманистическое движение молодежи» было признано «иностранным агентом» после проведенной Минюстом проверки, в ходе которой было выявлено, что организация занимается политической деятельностью. К ней министерство отнесло издание «Молодежной правозащитной газеты».",,checked,checked,2015,Прекращение деятельности НКО
Самарская региональная общественная организация содействия гармонизации межнациональных отношений «Азербайджан»,Юрлицо,2015,3/13/2015,«Иностранный агент» (НКО),Этнические объединения и поддержка коренных народов,"Организация «Азербайджан» занималась развитием и гармонизацией межнациональных отношений России и Азербайджана. Организация объединяла граждан России, относящих себя к азербайджанской этнической общности, чтобы представлять их интересы. Кроме того, целью «Азербайджана» являлось сохранение и развитие азербайджанской культуры и традиций в России.","Организация была признана «иностранным агентом» по результатам выездной внеплановой проверки, в ходе которой было установлено, что в общественную организацию принимали иностранных граждан и брали с них членский взнос в 300 рублей.",,checked,checked,2018,Прекращение деятельности НКО
Челябинское региональное экологическое общественное движение «За природу»,Юрлицо,2015,3/6/2015,«Иностранный агент» (НКО),Защита окружающей среды,"Движение «За природу» проводило работу по защите прав и интересов граждан, пострадавших от неблагоприятных экологических условий в Челябинской области. Среди целей движения было осуществление природоохранной деятельности, экологическое просвещение населения, а также проведение слушаний по вопросам проектирования и размещения объектов, способных нанести экологический вред и угрожать здоровью граждан. В 2000-х годах благодаря действиям движения «За природу» были признаны недействительными несколько актов и постановлений органов власти, угрожавших окружающей среде региона.","Существует две организации: Челябинский региональный благотворительный общественный фонд «За природу» и одноименное общественное движение (оба признаны «иноагентами»). В адрес Фонда в 2014 было сделано пожертвование со стороны неправительственной общественной организации «Норвежское общество охраны природы». По мнению руководителя общественного движения, чиновники, внося общественное движение и фонд в реестр «иностранных агентов», руководствовались логикой, что фонд, получая иностранные деньги, финансирует одноименное движение. В этом выражается политическая деятельность фонда, движение в свою очередь уже занимается непосредственно политической деятельностью в форме формирования общественного мнения, направленного на изменение госполитики.",,checked,checked,2016,Прекращение деятельности НКО
Челябинский региональный благотворительный общественный фонд «За природу»,Юрлицо,2015,3/6/2015,«Иностранный агент» (НКО),Защита окружающей среды,"Общественный фонд «За природу» изначально создавался для проведения работы по оказанию помощи пострадавшим от воздействия радиации. Позже в сферу его деятельности вошло содействие социально-экономическому развитию Челябинской области для привлечения инвестиций в сферы здравоохранения и охраны окружающей среды региона. Фонд также отвечал за организацию общественных слушаний и кампаний по проведению экспертиз на различных предприятиях Челябинской области, угрожающих экологии.","Существует две организации: Челябинский региональный благотворительный общественный фонд «За природу» и одноименное общественное движение (оба признаны 
«иноагентами»). В адрес фонда в 2014 было сделано пожертвование со стороны неправительственной общественной организации «Норвежское общество охраны природы». По мнению руководителя общественного движения, чиновники, внося общественное движение и фонд в реестр «иностранных агентов», руководствовались логикой, что фонд, получая иностранные деньги, финансирует одноименное движение. В этом выражается политическая деятельность фонда, движение в свою очередь уже занимается непосредственно политической деятельностью в форме формирования общественного мнения, направленного на изменение госполитики.",,checked,checked,2017,Прекращение деятельности НКО
Общественное региональное движение «Новгородский Женский Парламент»,Юрлицо,2015,3/6/2015,«Иностранный агент» (НКО),Защита прав женщин,"«Новгородский Женский Парламент» проводил работу в сфере защиты женских прав. Главной целью организации было объединение физических и юридических лиц для поиска решений социальных, правовых, экономических и иных проблем женщин. Ее деятельность также включала в себя выдвижение законодательных инициатив, проведение конференций по вопросам равенства женщин и мужчин. За время работы «Новгородский Женский Парламент» выпустил 54 номера своей газеты, а также провел множество семинаров и тренингов личностного роста для женщин.",«Новгородский Женский Парламент» сам направил в Минюст заявление о признании себя «иноагентом».,,checked,checked,,Прекращение деятельности НКО
Региональный Фонд «Центр Защиты Прав Средств Массовой Информации»,Юрлицо,2015,2/26/2015,«Иностранный агент» (НКО),Поддержка независимой журналистики,"Деятельность «Центра защиты прав СМИ» направлена на становление института свободы слова в России: уже 15 лет он оказывает помощь журналистам в правовом поле. Юристы центра ведут до сотни судебных дел в год и помогают журналистам по всей стране. Только за последние 5 лет организация предоставила свыше 22 тысяч консультаций представителям медиа.

Кроме того, юристы «Центра защиты прав СМИ» проводят десятки семинаров, вебинаров и тренингов в год, чтобы обезопасить журналистов, блогеров и фотографов от судебного преследования и административных наказаний.","В ходе внеплановой проверки управлением Минюста по Воронежской области у «Центра Защиты Прав Средств Массовой Информации» были выявлены признаки НКО, выполняющей функции «иностранного агента».",,,,,
Городская общественная организация «Самарский центр гендерных исследований»,Юрлицо,2015,2/16/2015,«Иностранный агент» (НКО),Исследовательские организации,"«Самарский центр гендерных исследований» занимался научными исследованиями и разработками в области общественных и гуманитарных наук. Работа велась, в основном, по разработке и внедрению в вузы Самары (в частности, Самарского Государственного Университета) образовательных программ, основанных на женских и гендерных исследованиях. Дважды (в 1996 и 2013 годах) проводилась летняя школа по гендерным исследованиям.

Исследовательские проекты центра освещали широкий спектр вопросов — от гендерных стереотипов в школе до гендерной политики в самых разных сферах.","«Самарский центр гендерных исследований» был признан «иностранным агентом» после внеплановой выездной проверки областного управления Минюста. По данным прокуратуры, организация получала финансирование из Германии.",,checked,checked,2020,Прекращение деятельности НКО
Фонд «Центр гражданского анализа и независимых исследований ГРАНИ»,Юрлицо,2015,2/13/2015,«Иностранный агент» (НКО),Поддержка местного сообщества,"«Центр Грани» — это пермская общественная организация, объединяющая исследователей, гражданских экспертов и активистов. Участники организации регулярно участвуют в различных форумах и конференциях, посвященных широкому кругу вопросов — от развития сообществ до устойчивого развития.","Был внесен в реестр «иностранных агентов» по результатам внеплановой выездной проверки Минюста России по Пермскому краю. Сама организация настаивает, что иностранного финансирования никогда не получала.",,,checked,2015,Прекращение иностранного финансирования и (или) политической деятельности
«Сибирский экологический центр»,Юрлицо,2015,2/12/2015,«Иностранный агент» (НКО),Защита окружающей среды,"«Сибирский экологический центр» был инициативной группой природоохранников Южной Сибири. Среди проектов центра были программы по сохранению лесов, по охране и мониторингу степных экосистем, консультационная служба по охране окружающей среды для жителей Новосибирска и многие другие. ","В сообщении Минюста указано, что организация признана  
«иноагентом» в ходе проведения внеплановой выездной проверки. По мнению руководителя организации политическое влияние усмотрели в перепечатке материалов об активистах Greenpeace, задержанных на нефтяной платформе «Приразломная». Организация получала средства в рамках международных программ, в частности, по программе развития ООН через Министерство природных ресурсов РФ. ",,checked,checked,2017,Прекращение деятельности НКО
Мурманская региональная общественная организация «Центр социально-психологической помощи и правовой поддержки жертв дискриминации и гомофобии „Максимум“»,Юрлицо,2015,2/4/2015,«Иностранный агент» (НКО),Поддержка ЛГБТК+,"«Максимум» занимался поддержкой ЛГБТК-сообщества в Мурманской области с 2009 по 2015 годы. Организация оказывала социально-психологическую и юридическую помощь жертвам дискриминации и гомофобии, издавала соответствующие газеты и брошюры.

Вскоре после включения в реестр «иноагентов» «Максимум» прекратил свою деятельность. Однако созданная на его базе одноименная региональная инициативная группа продолжает работать и сегодня.","Издание брошюр и газет Центра было признано политической деятельностью. Согласно официальной версии, «факт соответствия названной организации признакам некоммерческой организации, выполняющей функции иностранного агента, был установлен в ходе проведения Управлением Минюста России по Мурманской области федерального государственного надзора за деятельностью указанной организации». ",,checked,checked,2015,Прекращение деятельности НКО
Некоммерческое партнерство «Институт развития прессы — Сибирь»,Юрлицо,2015,1/30/2015,«Иностранный агент» (НКО),Поддержка независимой журналистики," «Институт развития прессы — Сибирь» помогает региональным российским СМИ обрести экономическую самостоятельность, информирует национальные, профессиональные, социальные и другие сообщества о состоянии прав человека, а также создает инфраструктуру для сбора, обработки и распространения информации о различных аспектах жизни в регионе.","«Институт развития прессы — Сибирь» был признан «иностранным агентом» из-за того, что организация принимала участие в проекте, осуществляемом при поддержке американского народа через Агентство США по международному развитию.",,,,,
Калининградская региональная общественная организация «Правозащитный центр»,Юрлицо,2014,1/27/2015,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,Основной функцией «Правозащитного центра» является защита прав граждан в трудовой сфере и решение трудовых споров. ,"Минюст счел основанием для присвоения «Правозащитному центру» статуса «иноагента» то, что возглавляющий организацию Михаил Чесалин также является депутатом облдумы и главой местного отделения политической партии «Патриоты России».",,,checked,2021,Прекращение иностранного финансирования и (или) политической деятельности
Еврейское областное региональное отделение Общероссийской общественной организации «Муниципальная Академия»,Юрлицо,2015,1/26/2015,«Иностранный агент» (НКО),Поддержка местного сообщества,"Региональное отделение «Российской муниципальной академии» за время своего существования организовывало международные научно-практические конференции, посвященные актуальным проблемам регионального развития, формировало предложения и рекомендации по вопросам воздействия человека на окружающую среду, а также активно занималось проектами, связанными с адаптацией мигрантов и их интеграцией в местное сообщество.","«Муниципальная Академия» была признана «иностранным агентом» после проверки, в ходе которой было выявлено, что организация занимается политической деятельностью. К ней Минюст отнес размещение в интернете мнения руководителя организации о порядке доступа избирателей к выборам, подготовку и распространение рекомендаций в адрес органов власти по актуальным проблемам: в частности, организацию круглого стола «Мигранты и общество». В качестве иностранных источников финансирования указан американский Национальный фонд демократии, от которого «Муниципальная Академия» получала деньги.",,checked,checked,2015,Прекращение деятельности НКО
Автономная некоммерческая правозащитная организация «Молодежный центр консультации и тренинга»,Юрлицо,2015,1/20/2015,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,"«Молодежный центр консультации и тренинга» оказывал безвозмездную юридическую помощь жителям Волгограда, прежде всего студентам. Занимался правовым просвещением в виде оказания консультаций и распространения письменных информационных материалов. В 2012 году центр организовал велопробег из Волгограда в Тбилиси, что было расценено Минюстом как «политическая деятельность». В январе 2015 года организацию признали «иностранным агентом». Позже, в июле 2015 года, ее исключили из реестра, однако давление властей на центр и его организаторов продолжилось. Как юридическое лицо организация прекратила свое существование с 21 февраля 2018 года.","«Молодежный центр консультации и тренинга» был признана «иностранным агентом» после проверки Минюста, в ходе которой выяснилось, что организация занимается политической деятельностью. В 2015 году был исключен из реестра.",,checked,checked,,Прекращение иностранного финансирования и (или) политической деятельности
